ID,compound,formula,mz,rt,charge
Lipid_neg_139,cardiolipin(72:10),C81H138O17P2,1443.933651,15.95,-1
Lipid_neg_140,cardiolipin(74:11),C83H140O17P2,1469.949301,16,-1
Lipid_neg_141,cardiolipin(72:9),C81H140O17P2,1445.949301,16.1,-1
Lipid_neg_142,cardiolipin(76:12),C85H142O17P2,1495.964951,16.13,-1
Lipid_neg_143,cardiolipin(66:3),C75H140O17P2,1373.949301,16.15,-1
Lipid_neg_144,cardiolipin(68:4),C77H142O17P2,1399.964951,16.21,-1
Lipid_neg_145,cardiolipin(74:10),C83H142O17P2,1471.964951,16.21,-1
Lipid_neg_146,cardiolipin(72:8),C81H142O17P2,1447.964951,16.25,-1
Lipid_neg_147,cardiolipin(74:9),C83H144O17P2,1473.980601,16.3,-1
Lipid_neg_148,cardiolipin(76:11),C85H144O17P2,1497.980601,16.3,-1
Lipid_neg_149,cardiolipin(64:1),C73H140O17P2,1349.949301,16.34,-1
Lipid_neg_150,cardiolipin(90:24),C99H146O17P2,1667.996251,16.38,-1
Lipid_neg_151,cardiolipin(68:3),C77H144O17P2,1401.980601,16.43,-1
Lipid_neg_152,cardiolipin(78:12),C87H146O17P2,1523.996251,16.46,-1
Lipid_neg_153,cardiolipin(72:7),C81H144O17P2,1449.980601,16.47,-1
Lipid_neg_154,cardiolipin(66:2),C75H142O17P2,1375.964951,16.48,-1
Lipid_neg_155,cardiolipin(80:16),C89H142O17P2,1543.964951,16.48,-1
Lipid_neg_156,cardiolipin(76:10),C85H146O17P2,1499.996251,16.5,-1
Lipid_neg_157,cardiolipin(70:4),C79H146O17P2,1427.996251,16.52,-1
Lipid_neg_158,cardiolipin(74:8),C83H146O17P2,1475.996251,16.52,-1
Lipid_neg_159,cardiolipin(80:14),C89H146O17P2,1547.996251,16.53,-1
Lipid_neg_160,cardiolipin(72:6),C81H146O17P2,1451.996251,16.57,-1
Lipid_neg_161,cardiolipin(74:7),C83H148O17P2,1478.011901,16.61,-1
Lipid_neg_162,cardiolipin(78:11),C87H148O17P2,1526.011901,16.61,-1
Lipid_neg_163,cardiolipin(70:3),C79H148O17P2,1430.011901,16.68,-1
Lipid_neg_164,cardiolipin(72:5),C81H148O17P2,1454.011901,16.7,-1
Lipid_neg_165,cardiolipin(76:8),C85H150O17P2,1504.027551,16.7,-1
Lipid_neg_166,cardiolipin(88:24),C97H142O17P2,1639.964951,16.7,-1
Lipid_neg_167,cardiolipin(68:2),C77H146O17P2,1403.996251,16.72,-1
Lipid_neg_168,cardiolipin(78:10),C87H150O17P2,1528.027551,16.73,-1
Lipid_neg_169,cardiolipin(90:23),C99H148O17P2,1670.011901,16.73,-1
Lipid_neg_170,cardiolipin(80:13),C89H148O17P2,1550.011901,16.74,-1
Lipid_neg_171,cardiolipin(88:23),C97H144O17P2,1641.980601,16.78,-1
Lipid_neg_172,cardiolipin(72:4),C81H150O17P2,1456.027551,16.85,-1
Lipid_neg_173,cardiolipin(74:5),C83H152O17P2,1482.043201,17.02,-1
Lipid_neg_174,cardiolipin(76:7),C85H152O17P2,1506.043201,17.1,-1
Lipid_neg_175,cardiolipin(74:4),C83H154O17P2,1484.058851,17.26,-1
Lipid_neg_176,CoQ9,C54H82O4,793.61403,17.74,-1
Lipid_neg_177,"CoQ10 (Reduced, Ubiquinol)",C59H92O4,863.69228,18.13,-1
Lipid_neg_178,"CoQ10 (Oxidized, Ubiquinone)",C59H90O4,861.67663,18.24,-1
Lipid_neg_179,C14:2,C14H24O2,223.17035,8.27,NaN
Lipid_neg_180,C19:4,C19H30O2,289.2173,8.5,NaN
Lipid_neg_181,C14:1,C14H26O2,225.186,8.58,NaN
Lipid_neg_182,C18:4,C18H28O2,275.20165,8.82,NaN
Lipid_neg_183,C15:2,C15H26O2,237.186,8.82,NaN
Lipid_neg_184,C16:2,C16H28O2,251.20165,8.93,NaN
Lipid_neg_185,C20:6,C20H28O2,299.20165,8.97,NaN
Lipid_neg_186,C15:1,C15H28O2,239.20165,8.99,NaN
Lipid_neg_187,C14:0,C14H28O2,227.20165,9.18,NaN
Lipid_neg_188,C18:3,C18H30O2,277.2173,9.25,NaN
Lipid_neg_189,C20:5,C20H30O2,301.2173,9.27,NaN
Lipid_neg_190,C17:2,C17H30O2,265.2173,9.31,NaN
Lipid_neg_191,C16:1,C16H30O2,253.2173,9.4,NaN
Lipid_neg_192,C19:3,C19H32O2,291.23295,9.48,NaN
Lipid_neg_193,C21:5,C21H32O2,315.23295,9.62,NaN
Lipid_neg_194,C15:0,C15H30O2,241.2173,9.64,NaN
Lipid_neg_195,C22:6,C22H32O2,327.23295,9.7,NaN
Lipid_neg_196,C18:2,C18H32O2,279.23295,9.73,NaN
Lipid_neg_197,C20:4,C20H32O2,303.23295,9.74,NaN
Lipid_neg_198,C17:1,C17H32O2,267.23295,9.88,NaN
Lipid_neg_199,C22:5,C22H34O2,329.2486,9.98,NaN
Lipid_neg_200,C20:3,C20H34O2,305.2486,10.1,NaN
Lipid_neg_201,C16:0,C16H32O2,255.23295,10.12,NaN
Lipid_neg_202,C19:2,C19H34O2,293.2486,10.19,NaN
Lipid_neg_203,C18:1,C18H34O2,281.2486,10.36,NaN
Lipid_neg_204,C24:6,C24H36O2,355.26425,10.37,NaN
Lipid_neg_205,C22:4,C22H36O2,331.26425,10.53,NaN
Lipid_neg_206,C17:0,C17H34O2,269.2486,10.61,NaN
Lipid_neg_207,C20:2,C20H36O2,307.26425,10.63,NaN
Lipid_neg_208,C19:1,C19H36O2,295.26425,10.83,NaN
Lipid_neg_209,C24:5,C24H38O2,357.2799,10.86,NaN
Lipid_neg_210,C22:3,C22H38O2,333.2799,11.1,NaN
Lipid_neg_211,C18:0,C18H36O2,283.26425,11.15,NaN
Lipid_neg_212,C20:1,C20H38O2,309.2799,11.32,NaN
Lipid_neg_213,C24:4,C24H40O2,359.29555,11.39,NaN
Lipid_neg_214,C22:2,C22H40O2,335.29555,11.62,NaN
Lipid_neg_215,C19:0,C19H38O2,297.2799,11.62,NaN
Lipid_neg_216,C25:3,C25H44O2,375.32685,11.65,NaN
Lipid_neg_217,C26:5,C26H42O2,385.3112,11.68,NaN
Lipid_neg_218,C21:1,C21H40O2,323.29555,11.77,NaN
Lipid_neg_219,C24:3,C24H42O2,361.3112,11.93,NaN
Lipid_neg_220,C20:0,C20H40O2,311.29555,12.13,NaN
Lipid_neg_221,C22:1,C22H42O2,337.3112,12.27,NaN
Lipid_neg_222,C23:1,C23H44O2,351.32685,12.41,NaN
Lipid_neg_223,C26:4,C26H44O2,387.32685,12.51,NaN
Lipid_neg_224,C24:2,C24H44O2,363.32685,12.54,NaN
Lipid_neg_225,C21:0,C21H42O2,325.3112,12.63,NaN
Lipid_neg_226,C25:2,C25H46O2,377.3425,12.83,NaN
Lipid_neg_227,C26:3,C26H46O2,389.3425,12.86,NaN
Lipid_neg_228,C23:0 B,C23H46O2,353.3425,13.02,NaN
Lipid_neg_229,C22:0,C22H44O2,339.32685,13.09,NaN
Lipid_neg_230,C24:1,C24H46O2,365.3425,13.19,NaN
