compound,formula,mz,rt,charge
Glucosyl/Galactosyl ceramide(d18:1/16:0),C40H77NO8,700.572199,12.43,1
PC(42:9),C50H82NO8P,856.585087,12.47,1
PE(42:7),C47H80NO8P,818.569437,12.47,1
PS(42:7),C48H80NO10P,862.559267,12.5,1
PS(40:4),C46H82NO10P,840.574917,12.52,1
PS(44:10),C50H78NO10P,884.543617,12.52,1
PC(34:2),C42H80NO8P,758.569437,12.53,1
PC(38:6),C46H80NO8P,806.569437,12.57,1
PE(32:1),C37H72NO8P,690.506837,12.63,1
PS(38:2),C44H82NO10P,816.574917,12.63,1
PC(36:4),C44H80NO8P,782.569437,12.66,1
PE(34:4),C39H70NO8P,712.491187,12.67,1
PC(40:7),C48H82NO8P,832.585087,12.74,1
PS(42:5),C48H84NO10P,866.590567,12.81,1
PC(38:5),C46H82NO8P,808.585087,12.84,1
PC(44:10),C52H84NO8P,882.600737,12.85,1
PE(36:5),C41H72NO8P,738.506837,12.85,1
PE(38:6),C43H74NO8P,764.522487,12.86,1
PC(36:3),C44H82NO8P,784.585087,12.88,1
SM(d18:1/18:0),C41H83N2O6P,731.606156,12.88,1
PE(40:4),C45H82NO8P,796.585087,12.89,1
PC(32:0),C40H80NO8P,734.569437,12.94,1
PC(42:8),C50H84NO8P,858.600737,12.94,1
PC(40:6),C48H84NO8P,834.600737,12.95,1
Galactosyl ceramide-Mono-Sulfo(d18:1/24:0),C48H93NO11S,892.654216,12.96,1
Galactosyl ceramide-Mono-Sulfo(d18:1/24:1),C48H91NO11S,890.638566,12.96,1
PE(42:6),C47H82NO8P,820.585087,12.97,1
PE(34:2),C39H74NO8P,716.522487,13.01,1
PE(38:5),C43H76NO8P,766.538137,13.01,1
PS(42:6),C48H82NO10P,864.574917,13.03,1
PS(38:1),C44H84NO10P,818.590567,13.07,1
PC(34:1),C42H82NO8P,760.585087,13.12,1
PS(42:4),C48H86NO10P,868.606217,13.12,1
PS(46:10),C52H82NO10P,912.574917,13.12,1
PS(44:7),C50H84NO10P,890.590567,13.13,1
PE(42:5),C47H84NO8P,822.600737,13.17,1
PE(32:0),C37H74NO8P,692.522487,13.21,1
Glucosyl/Galactosyl ceramide(d18:1/18:0),C42H81NO8,728.603499,13.24,1
Glucosyl/Galactosyl ceramide(d18:1/20:0),C44H85NO8,756.634799,13.24,1
PC(36:2),C44H84NO8P,786.600737,13.31,1
PE(O-36:5),C41H74NO7P,724.527572,13.31,1
PE(44:4),C49H90NO8P,852.647687,13.34,1
PE(34:1),C39H76NO8P,718.538137,13.35,1
PE(40:3),C45H84NO8P,798.600737,13.35,1
PC(38:4),C46H84NO8P,810.600737,13.44,1
PE(42:4),C47H86NO8P,824.616387,13.45,1
PC(42:7),C50H86NO8P,860.616387,13.47,1
PE(O-38:6),C43H76NO7P,750.543222,13.47,1
PE(36:2),C41H78NO8P,744.553787,13.48,1
PC(40:5),C48H86NO8P,836.616387,13.51,1
DG_Na(30:1),C33H61O5Na,561.4489493,13.64,1
DG_NH4(30:1),C33H61O5NH4,556.493554,13.64,1
PE(38:4),C43H78NO8P,768.553787,13.67,1
PC(38:3),C46H86NO8P,812.616387,13.68,1
PE(40:2),C45H86NO8P,800.616387,13.68,1
ceramide-Dihydro-(d18:0/16:0),C34H69NO3,540.535024,13.68,1
PC(42:6),C50H88NO8P,862.632037,13.72,1
PC(34:0),C42H84NO8P,762.600737,13.73,1
PS(40:3),C46H84NO10P,842.590567,13.79,1
PS(42:2),C48H90NO10P,872.637517,13.83,1
PS(44:6),C50H86NO10P,892.606217,13.84,1
PC(36:1),C44H86NO8P,788.616387,13.88,1
PE(34:0),C39H78NO8P,720.553787,13.94,1
PE(O-36:3),C41H78NO7P,728.558872,13.96,1
PC(40:4),C48H88NO8P,838.632037,13.98,1
PS(40:2),C46H86NO10P,844.606217,13.99,1
PC(38:2),C46H88NO8P,814.632037,14,1
PE(38:3),C43H80NO8P,770.569437,14.04,1
PE(42:3),C47H88NO8P,826.632037,14.04,1
PE(O-38:5),C43H78NO7P,752.558872,14.04,1
PE(O-40:6),C45H80NO7P,778.574522,14.04,1
PE(46:4),C51H94NO8P,880.678987,14.05,1
PE(36:1),C41H80NO8P,746.569437,14.07,1
PE(O-38:4),C43H80NO7P,754.574522,14.09,1
PE(44:2),C49H94NO8P,856.678987,14.1,1
DG_NH4(34:4),C37H63O5NH4,606.509204,14.14,1
ceramide-Dihydro-(d18:0/18:1),C36H71NO3,566.550674,14.15,1
PC(40:3),C48H90NO8P,840.647687,14.18,1
PE(40:1),C45H88NO8P,802.632037,14.18,1
DG_Na(30:0),C33H63O5Na,563.4645993,14.18,1
DG_Na(34:3),C37H65O5Na,613.4802493,14.18,1
DG_NH4(30:0),C33H63O5NH4,558.509204,14.18,1
DG_NH4(34:3),C37H65O5NH4,608.524854,14.18,1
PC(44:7),C52H90NO8P,888.647687,14.19,1
PC(42:5),C50H90NO8P,864.647687,14.21,1
PE(O-40:5),C45H82NO7P,780.590172,14.22,1
PC(36:1)-ether,C44H86NO7P,772.621472,14.26,1
PC(46:8),C54H92NO8P,914.663337,14.27,1
PS(40:1),C46H88NO10P,846.621867,14.27,1
PS(48:3),C54H100NO10P,954.715767,14.27,1
Lactosyl ceramide(d18:1/24:1),C54H101NO13,972.734574,14.29,1
PE(42:2),C47H90NO8P,828.647687,14.31,1
PC(44:6),C52H92NO8P,890.663337,14.33,1
SM(d18:1/22:0),C45H91N2O6P,787.668756,14.36,1
SM(d18:1/22:1),C45H89N2O6P,785.653106,14.36,1
DG_Na(32:1),C35H65O5Na,589.4802493,14.37,1
DG_NH4(32:1),C35H65O5NH4,584.524854,14.37,1
DG_NH4(32:2),C35H63O5NH4,582.509204,14.38,1
DG_NH4(36:5),C39H65O5NH4,632.524854,14.38,1
PC(36:0),C44H88NO8P,790.632037,14.41,1
PE(46:3),C51H96NO8P,882.694637,14.41,1
PS(42:1),C48H92NO10P,874.653167,14.42,1
PS(44:4),C50H90NO10P,896.637517,14.44,1
SM(d18:1/24:1),C47H93N2O6P,813.684406,14.44,1
PE(O-36:2),C41H80NO7P,730.574522,14.48,1
ceramide-Dihydro-(d18:0/18:0),C36H73NO3,568.566324,14.5,1
PE(44:1),C49H96NO8P,858.694637,14.51,1
DG_Na(34:2),C37H67O5Na,615.4958993,14.54,1
DG_NH4(34:2),C37H67O5NH4,610.540504,14.54,1
PC(38:1),C46H90NO8P,816.647687,14.55,1
PC(42:4),C50H92NO8P,866.663337,14.58,1
DG_Na(36:4),C39H67O5Na,639.4958993,14.58,1
DG_NH4(36:4),C39H67O5NH4,634.540504,14.58,1
PC(40:2),C48H92NO8P,842.663337,14.64,1
DG_NH4(40:8),C43H67O5NH4,682.540504,14.67,1
DG_Na(40:7),C43H69O5Na,689.5115493,14.71,1
DG_NH4(40:7),C43H69O5NH4,684.556154,14.71,1
PE(46:2),C51H98NO8P,884.710287,14.74,1
DG_Na(38:5),C41H69O5Na,665.5115493,14.75,1
DG_NH4(38:5),C41H69O5NH4,660.556154,14.75,1
Glucosyl/Galactosyl ceramide(d18:1/24:1),C48H91NO8,810.681749,14.75,1
PC(42:3),C50H94NO8P,868.678987,14.76,1
DG_NH4(38:6),C41H67O5NH4,658.540504,14.77,1
PC(46:7),C54H94NO8P,916.678987,14.78,1
PS(40:0),C46H90NO10P,848.637517,14.79,1
DG_Na(36:3),C39H69O5Na,641.5115493,14.8,1
DG_NH4(36:3),C39H69O5NH4,636.556154,14.8,1
PC(48:8),C56H96NO8P,942.694637,14.84,1
PC(44:5),C52H94NO8P,892.678987,14.85,1
PS(48:2),C54H102NO10P,956.731417,14.86,1
DG_Na(32:0),C35H67O5Na,591.4958993,14.86,1
DG_NH4(32:0),C35H67O5NH4,586.540504,14.86,1
